Index,Date_P##,Power1,Power2,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five,Thirty,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
MA Peak Threshold,,70,70,70,80,70,70,65,70,70,70,70,70,60,70,65,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,707,553,585,524,593,740,583,548,663,369,763,532,757,417,536,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0407_P14,-10,-10,-5,-10,-5,-10,-10,-15,-10,-15,0,-15,-10,NA,-15,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,24,392,170,356,247,101,45,237,166,109,127,490,170,NA,313,,,,,,,,,,,,,,
OP End Frame,,850,850,2000,3000,3000,1800,1400,1600,1700,2700,2000,1750,1400,NA,2000,,,,,,,,,,,,,,
MA Peak Threshold,,20,18,20,20,20,20,15,25,20,20,30,15,25,NA,20,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,435,450,469,937,316,283,310,338,299,247,355,334,400,NA,322,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0407_P15,-25,-20,-15,0,-12,-12,-10,-10,-10,-5,-5,-5,0,-15,-15,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,63,42,127,433,241,80,133,86,78,113,162,193,210,178,179,,,,,,,,,,,,,,
OP End Frame,,1100,1200,2000,3000,3000,1800,1300,1300,1100,900,1700,1600,1700,1900,2150,,,,,,,,,,,,,,
MA Peak Threshold,,10,10,10,10,10,20,20,20,15,20,20,20,20,20,20,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,740,478,384,2396,303,271,551,644,645,238,776,667,598,534,454,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0407_P16,-10,-20,-10,-15,-5,-10,-10,-10,0,-5,-10,-5,10,10,-5,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,72,98,132,216,284,131,169,134,101,189,176,178,134,304,141,,,,,,,,,,,,,,
OP End Frame,,800,800,3000,3000,2000,2800,2000,1750,1500,2000,1300,2500,2100,2000,1650,,,,,,,,,,,,,,
MA Peak Threshold,,20,10,20,20,20,20,25,20,30,30,25,25,30,30,25,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,646,716,403,235,633,617,467,594,316,671,585,348,696,364,682,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
